location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
3246957,Belgrade BIG Fashion Park,pm1,39.94999981,?æg/m??,2024-11-10T18:00:00Z,2024-11-10T19:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,39.72083346,?æg/m??,2024-11-10T19:00:00Z,2024-11-10T20:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,53.07500013,?æg/m??,2024-11-10T20:00:00Z,2024-11-10T21:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,64.71250089,?æg/m??,2024-11-10T21:00:00Z,2024-11-10T22:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,76.46250153,?æg/m??,2024-11-10T22:00:00Z,2024-11-10T23:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,73.11458333,?æg/m??,2024-11-10T23:00:00Z,2024-11-11T00:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,66.14374892,?æg/m??,2024-11-11T00:00:00Z,2024-11-11T01:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,57.83333302,?æg/m??,2024-11-11T01:00:00Z,2024-11-11T02:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,47.83333333,?æg/m??,2024-11-11T02:00:00Z,2024-11-11T03:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,45.97500038,?æg/m??,2024-11-11T03:00:00Z,2024-11-11T04:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,47.09722265,?æg/m??,2024-11-11T04:00:00Z,2024-11-11T05:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,44.49166648,?æg/m??,2024-11-11T05:00:00Z,2024-11-11T06:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
3246957,Belgrade BIG Fashion Park,pm1,41.0666666,?æg/m??,2024-11-11T06:00:00Z,2024-11-11T07:00:00+01:00,Europe/Belgrade,44.81659101,20.5119123,,,,Hbaf,AirGradient
